updated_at,game,kickoff_utc,market_ticker,player_name,player_id,threshold,yes_bid,yes_ask,no_bid,no_ask,projection,fair_yes,fair_no,yes_edge,no_edge,minutes_to_kickoff,entry_price,edge_required,size_units,market_qc_pass,model_available,action,max_contracts_at_1_unit
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-ATLDLONDON5-70,Drake London: 70+ receiving yards,00-0037238,70.0,0.46,0.47,0.53,0.54,51.240547486682765,0.1647597254004576,0.8352402745995424,-0.3052402745995424,0.2952402745995424,527.5112325666666,0.54,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-ATLDLONDON5-60,Drake London: 60+ receiving yards,00-0037238,60.0,0.56,0.57,0.43,0.4399999999999999,51.240547486682765,0.2891566265060241,0.7108433734939759,-0.28084337349397587,0.27084337349397597,527.5112325666666,0.4399999999999999,0.02,1.0,True,True,BET_NOW_PAPER,2
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-ATLDLONDON5-80,Drake London: 80+ receiving yards,00-0037238,80.0,0.35,0.36,0.64,0.65,51.240547486682765,0.0905911157747464,0.9094088842252536,-0.26940888422525355,0.25940888422525354,527.5112325666666,0.65,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,BAL@DAL,2026-09-27T20:25:00+00:00,KXNFLRECYDS-26SEP27BALDAL-DALGPICKENS3-70,George Pickens: 70+ receiving yards,00-0037247,70.0,0.41,0.42,0.5800000000000001,0.5900000000000001,50.2109966436286,0.1647597254004576,0.8352402745995424,-0.25524027459954235,0.24524027459954234,4617.511232566667,0.5900000000000001,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,BAL@DAL,2026-09-27T20:25:00+00:00,KXNFLRECYDS-26SEP27BALDAL-DALCLAMB88-100,CeeDee Lamb: 100+ receiving yards,00-0036358,100.0,0.34,0.36,0.64,0.6599999999999999,71.75182584905708,0.0977596741344195,0.9022403258655805,-0.2622403258655805,0.24224032586558053,4617.511232566667,0.6599999999999999,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,BAL@DAL,2026-09-27T20:25:00+00:00,KXNFLRECYDS-26SEP27BALDAL-DALCLAMB88-90,CeeDee Lamb: 90+ receiving yards,00-0036358,90.0,0.41,0.45,0.55,0.5900000000000001,71.75182584905708,0.171238570241064,0.828761429758936,-0.27876142975893603,0.23876142975893588,4617.511232566667,0.5900000000000001,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,NYJ@DET,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27NYJDET-DETJWILLIAMS1-60,Jameson Williams: 60+ receiving yards,00-0037240,60.0,0.43,0.46,0.54,0.5700000000000001,43.062913752018645,0.1923076923076923,0.8076923076923077,-0.26769230769230773,0.23769230769230765,4412.511232566667,0.5700000000000001,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,BAL@DAL,2026-09-27T20:25:00+00:00,KXNFLRECYDS-26SEP27BALDAL-DALGPICKENS3-60,George Pickens: 60+ receiving yards,00-0037247,60.0,0.52,0.53,0.47,0.48,50.2109966436286,0.2891566265060241,0.7108433734939759,-0.24084337349397594,0.23084337349397588,4617.511232566667,0.48,0.02,1.0,True,True,BET_NOW_PAPER,2
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-GBCWATSON9-80,Christian Watson: 80+ receiving yards,00-0038124,80.0,0.4,0.41,0.5900000000000001,0.6,62.8475438262419,0.171238570241064,0.828761429758936,-0.23876142975893597,0.22876142975893599,527.5112325666666,0.6,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,BAL@DAL,2026-09-27T20:25:00+00:00,KXNFLRECYDS-26SEP27BALDAL-DALCLAMB88-85,CeeDee Lamb: 85+ receiving yards,00-0036358,85.0,0.47,0.51,0.49,0.53,71.75182584905708,0.2427184466019417,0.7572815533980584,-0.2672815533980583,0.22728155339805833,4617.511232566667,0.53,0.02,1.0,True,True,BET_NOW_PAPER,1
